game_id,move_number,fen,move_uci,eval_cp,turn
1,12,r1bqkb1r/pppp1ppp/2nn4/1B2N3/8/8/PPPP1PPP/RNBQR1K1 b kq - 0 6,f8e7,-20,black
1,13,r1bqk2r/ppppbppp/2nn4/1B2N3/8/8/PPPP1PPP/RNBQR1K1 w kq - 1 7,b5f1,29,white
1,14,r1bqk2r/ppppbppp/2nn4/4N3/8/8/PPPP1PPP/RNBQRBK1 b kq - 2 7,c6e5,-24,black
1,15,r1bqk2r/ppppbppp/3n4/4n3/8/8/PPPP1PPP/RNBQRBK1 w kq - 0 8,e1e5,34,white
1,16,r1bqk2r/ppppbppp/3n4/4R3/8/8/PPPP1PPP/RNBQ1BK1 b kq - 0 8,e8g8,-25,black
1,17,r1bq1rk1/ppppbppp/3n4/4R3/8/8/PPPP1PPP/RNBQ1BK1 w - - 1 9,d2d4,24,white
1,18,r1bq1rk1/ppppbppp/3n4/4R3/3P4/8/PPP2PPP/RNBQ1BK1 b - - 0 9,d6e8,-27,black
1,19,r1bqnrk1/ppppbppp/8/4R3/3P4/8/PPP2PPP/RNBQ1BK1 w - - 1 10,d4d5,34,white
1,20,r1bqnrk1/ppppbppp/8/3PR3/8/8/PPP2PPP/RNBQ1BK1 b - - 0 10,d7d6,-42,black
1,21,r1bqnrk1/ppp1bppp/3p4/3PR3/8/8/PPP2PPP/RNBQ1BK1 w - - 0 11,e5e1,35,white
1,22,r1bqnrk1/ppp1bppp/3p4/3P4/8/8/PPP2PPP/RNBQRBK1 b - - 1 11,e7g5,-26,black
1,23,r1bqnrk1/ppp2ppp/3p4/3P2b1/8/8/PPP2PPP/RNBQRBK1 w - - 2 12,b1c3,25,white
1,24,r1bqnrk1/ppp2ppp/3p4/3P2b1/8/2N5/PPP2PPP/R1BQRBK1 b - - 3 12,a7a5,-33,black
1,25,r1bqnrk1/1pp2ppp/3p4/p2P2b1/8/2N5/PPP2PPP/R1BQRBK1 w - - 0 13,c1g5,50,white
1,26,r1bqnrk1/1pp2ppp/3p4/p2P2B1/8/2N5/PPP2PPP/R2QRBK1 b - - 0 13,d8g5,-50,black
1,27,r1b1nrk1/1pp2ppp/3p4/p2P2q1/8/2N5/PPP2PPP/R2QRBK1 w - - 0 14,c3e4,52,white
1,28,r1b1nrk1/1pp2ppp/3p4/p2P2q1/4N3/8/PPP2PPP/R2QRBK1 b - - 1 14,g5d8,-54,black
1,29,r1bqnrk1/1pp2ppp/3p4/p2P4/4N3/8/PPP2PPP/R2QRBK1 w - - 2 15,d1f3,57,white
1,30,r1bqnrk1/1pp2ppp/3p4/p2P4/4N3/5Q2/PPP2PPP/R3RBK1 b - - 3 15,c8d7,-52,black
1,31,r2qnrk1/1ppb1ppp/3p4/p2P4/4N3/5Q2/PPP2PPP/R3RBK1 w - - 4 16,a2a3,53,white
1,32,r2qnrk1/1ppb1ppp/3p4/p2P4/4N3/P4Q2/1PP2PPP/R3RBK1 b - - 0 16,f7f5,-52,black
1,33,r2qnrk1/1ppb2pp/3p4/p2P1p2/4N3/P4Q2/1PP2PPP/R3RBK1 w - - 0 17,e4g3,52,white
1,34,r2qnrk1/1ppb2pp/3p4/p2P1p2/8/P4QN1/1PP2PPP/R3RBK1 b - - 1 17,d8h4,-53,black
1,35,r3nrk1/1ppb2pp/3p4/p2P1p2/7q/P4QN1/1PP2PPP/R3RBK1 w - - 2 18,f3c3,55,white
1,36,r3nrk1/1ppb2pp/3p4/p2P1p2/7q/P1Q3N1/1PP2PPP/R3RBK1 b - - 3 18,e8f6,-68,black
1,37,r4rk1/1ppb2pp/3p1n2/p2P1p2/7q/P1Q3N1/1PP2PPP/R3RBK1 w - - 4 19,c3c7,62,white
1,38,r4rk1/1pQb2pp/3p1n2/p2P1p2/7q/P5N1/1PP2PPP/R3RBK1 b - - 0 19,f6g4,-53,black
1,39,r4rk1/1pQb2pp/3p4/p2P1p2/6nq/P5N1/1PP2PPP/R3RBK1 w - - 1 20,h2h3,78,white
